Symbol	Description
RUDB	RBC US Discount Bond ETF
RUDB.U	RBC US Discount Bond ETF USD
RUDC	RBC U.S. Dividend Covered Call ETF
RUDC.U	RBC US Dividend Covered Call ETF USD
RUDH	RBC Quant US Div Leaders ETF
RUN-H	
RUP	Rupert Resources Ltd
RUQN	RBC Target 2025 US Corp Bond ETF
RUQO	RBC Target 2026 US Corp Bond ETF
RUQO.U	RBC Target 2026 US Corp Bond ETF USD
RUQP	RBC Target 2027 U.S. Corporate Bond ETF
RUQP.U	RBC Target 2027 US Corp Bond ETF USD
RUQQ	RBC Target 2028 U.S. Corporate Bond ETF
RUQQ.U	RBC Target 2028 US Corp Bond ETF USD
RUQR	RBC Target 2029 US Corp Bond ETF
RUQR.U	RBC Target 2029 US Corp Bond ETF USD
RUQS	RBC Target 2030 US Corp Bond ETF
RUQS.U	RBC Target 2030 US Corp Bond ETF USD
RUQT	RBC Target 2031 US Corporate Bond ETF
RUQT.U	RBC Target 2031 US Corporate Bnd ETF USD
RUS	Russel Metals
RUSB	RBC Short Term US Corp Bond ETF
RUSB.U	RBC Short Term US Corp Bond USD
RUSH	
RUST	RBC Canadian Ultra Short Term Bond ETF
RVC-P	
RVG	
RVLY	
RVX	Resverlogix Corp
RXD	RBC Quant Emrg Mkts Div Leaders ETF
RY	Royal Bank of Canada
RY.PR.M	Royal Bank Pref Ser Bf
RY.PR.N	Royal Bank Pref Ser Bh
RY.PR.O	Royal Bank Pref Ser Bi
RY.PR.S	RBC Pref Shares Series Bo
RYHE	
RYHI	
RYO	
RYR	
S	Sherritt Intl Rv
SA-H	
SAC-P	
SAF	
SAFE	Global X Eql Wght CDN Insurance Indx ETF
SAGA	
SAGE	
SAI-H	
SALT	
SAM	Starcore International Mines Ltd
SAO	
SAP	Saputo Inc
SASK	
SATO	
SAU	ST Augustine Gold and Copper Ltd
SAWC-P	
SBC	Brompton Split Banc Corp Cl A
SBC.PR.A	Brompton Split Banc Corp Pref
SBEL-P	
SBI	Serabi Gold Plc
SBIO	
SBMI	
SBT	Purpose Silver Bullion ETF
SBT.B	Silver Bullion Trust CAD ETF Non Cur
SBT.U	Silver Bullion Trust USD ETF Non Cur
SC-H	
SCAN	
SCLT	
SCND	
SCOT	
SCR	Strathcona Resources Ltd.
SCZ	
SDCI-P	
SDCU	
SDE	Spartan Delta Corp
SEA	Seabridge Gold Inc
SEC	Senvest Capital
SECU	
SEND	
SES	Secure Energy Services Inc
SEVN-P	
SFC	Sagicor Financial Company Ltd
SFD	Nxt Energy Solutions Inc
SFI	Solution Financial Inc
SGML	
SGR.U	Slate Grocery REIT USD
SGR.UN	Slate Grocery REIT
SGU	
SGY	Surge Energy Inc
SGY.DB.B	Surge Energy Inc. 8.50%
SHHI	
SHLD	Global X Defence Tech Index ETF
SHLE	Source Energy Services Ltd
SHLL-P	
SHOP	Shopify Inc
SHPE	
SHRP	
SHRX	
SIA	Sienna Senior Living Inc
SIEN	
SIH.UN	Sustainable Innovation & Health Dividend
SII	Sprott Inc
SILV	
SIS	Savaria Corp
SJ	Stella Jones Inc
SKE	Skeena Resources Ltd
SKRR	
SKYG	
SKYY	First Trust Cloud Computing ETF
SLF	Sun Life Financial Inc
SLF.PR.C	Sun Life Pref Ser 3
SLF.PR.D	Sun Life Pref Ser 4
SLF.PR.E	Sun Life Pref Ser 5
SLF.PR.G	Sun Life Pref Ser 8R
SLF.PR.H	Sun Life Pref Ser H
SLF.PR.J	Sun Life Pref Ser 9Qr
SLF.PR.K	Sun Life Pref Ser 11Qr
SLR	Solitario Zinc Corp
SLS	Solaris Resources Inc
SLT	Saltire Capital Ltd
SLT.U	Saltire Capital Ltd
SLVD	Betapro Silver 2X Daily Bear ETF
SLVR	
SLVU	Betapro Silver 2X Daily Bull ETF
SLX-P	
SMAR-P	
SMAX	Hamilton U.S. Equity Yield Maximizer ETF
SMC	Sulliden Mining Capital Inc
SMP	
SMRV	
SMT	Sierra Metals Inc
SMVP	Hamilton Champions US Div Indx Hdg ETF
SMVP.U	Hamilton Champions US Div Ind Uh ETF USD
SNAG	
SOBO	South Bow Corporation WI
SOIL	Saturn Oil and Gas Inc
SOLA	Evolve Solana Unhg ETF
SOLA.U	Evolve Solana Unhg ETF USD
SOLI-P	
SOLL	
SOLL.B	
SOLL.U	Purpose Solana NC Hdg ETF USD
SOLQ	3iQ Solana Staking ETF
SOLQ.U	3iQ Solana Staking ETF USD
SOLR	
SOLX.B	CI Galaxy Solana Unhg ETF
SOLX.U	CI Galaxy Solana Unhg ETF USD
SOMA	
SOO-P	
SOU	
SOXD	Megashort -3X US Semicnd Dly Lvg Alt ETF
SOXU	Megalong 3X US Semicnd Dly Lvg Alt ETF
SOY	Sunopta Inc
SPAC.U	Mercer Park Opportunities Corp Cla USD
SPAC.WT.U	Mercer Park Opportunities Corp Wts USD
SPAY	GX Short-Term U.S. Treas Prem Yld ETF
SPAY.U	GX Short-Term U.S. Treas Prem Yld ETF USD
SPB	Superior Plus Corp
SPFD	Mulvihill Enhanced Split Pref Shr ETF
SPLT	Brompton Split Corp Preferred Share ETF
SPMC	
SPOT	
SPPP	Sprott Physical Platinum Palladium CAD
SPPP.U	Sprott Physical Platinum Palladium USD
SPRQ	
SPRX	
SPSA-P	
SPXD	Betapro Sp500 2X Daily Bear ETF
SPXI	Betapro Sp500 Daily Inverse ETF
SPXU	Betapro Sp500 2X Daily Bull ETF
SPYD	Megashort -3X SP 500 Dly Lvgd Altern ETF
SPYU	Megalong 3X SP 500 Dly Lvgd Altern ETF
SQG	
SQQQ	Betapro -3X Nasdaq-100 Daily Leverage Bear Alter
SR	
SRES	
SRQ	
SRU.UN	Smartcentres Real Estate Investment Trust
SRV.UN	Sir Royalty Income Fund
SSF.UN	Symphony Floating Rate Sr Loan Fd
SSL	Sandstorm Gold Ltd
SSPX	Betapro -3X S&P 500 Daily Leveraged Bear Alterna
SSRM	Ssr Mining Inc
SSS-P	
SSSS-P	
SSX	
STC	Sangoma Technologies Corp
STCK	Stack Capital Group Inc
STCK.WT.A	Stack Capital Group Inc Wts
STCK.WT.B	
STEP	Step Energy Services Ltd
STGO	Steppe Gold Ltd
STLR	Stllr Gold Inc
STMP	
STN	Stantec Inc
STND	
STNG	
STPL	BMO Glb Consumer Staples Hgd To CAD ETF
STR-H	
STRM	
STRR	
STU	
STUD	
STUV	
STW	
SU	Suncor Energy Inc
SUGR	
SUHE	
SUHI	
SUN	
SURG	
SVA	Sernova Corp
SVB	Silver Bull Resources Inc
SVE	
SVI	Storagevault Canada Inc
SVI.DB	Storagevault Canada Inc 5.75 Pct Debs
SVI.DB.B	Storagevault Canada Inc 5.50 Pct Debs
SVI.DB.C	Storagevault Canada Inc 5 Pct Debs
SVM	Silvercorp Metals Inc
SVR	Ishares Silver Bullion ETF Hdg
SVR.C	Ishares Silver Bullion ETF Non Hdg
SVRS	
SWA	
SWAN	
SWIN	Hamilton Champions Enhncd US Div Hdg ETF
SWLF	
SWP	Swiss Water Decaffeinated Coffee Inc
SXGC	
SXI	Synex Intl J
SXP	Supremex Inc
SYG	
SYLD	Purpose Strategic Yield Fund
SYZ	Sylogist Ltd
T	Telus Corp
TA	Transalta Corp
TA.PR.D	Transalta Corp Prfd Series A
TA.PR.E	Transalta Corp Pref Ser B
TA.PR.F	Transalta Corp Pref Ser C
TA.PR.G	Transalta Corporation Pref Ser D
TA.PR.H	Transalta Corp Pref Sh Series E
TA.PR.J	Transalta Corp Pref Ser G
TAL	Petrotal Corp
TBAL	TD Balanced Portfolio ETF
TBCE	TD Target 2025 Investment Grade Bond ETF
TBCF	TD Target 2026 Investment Grade Bond ETF
TBCG	TD Target 2027 Investment Grade Bond ETF
TBCH	TD Target 2028 Investment Grade Bond ETF
TBCI	TD Target 2029 Investment Grade Bond ETF
TBCJ	TD Target 2030 Investment Grade Bond ETF
TBIL	Harvest Canadian T Bill ETF
TBIX	
TBK	
TBL	Taiga Building Products Ltd
TBLL	
TBNK	TD Canadian Bank Dividend Index ETF
TBRD	
TBUE.U	TD Target 2025 US Inv Grade Bond ETF USD
TBUF.U	TD Target 2026 US Inv Grade Bond ETF USD
TBUG.U	TD Target 2027 US Inv Grade Bond ETF USD
TC	Tucows Inc
TCBN	TD Global Carbon Credit Index ETF
TCG-P	
TCK-P	
TCL.A	Transcontinental Inc Cl A Sv
TCL.B	Transcontinental Inc Cl B Mv
TCLB	TD Canadian Long Term Fed Bond ETF
TCLV	TD Q Canadian Low Volatility ETF
TCND	
TCO	
TCON	TD Conservative Portfolio ETF
TCS	Tecsys Inc J
TCSB	TD Select Short Term Corporate Bond Ladd
TCSH	TD Cash Management ETF
TCW	Trican Well
TD	Toronto-Dominion Bank
TD.PF.A	TD Bank Pref Series 1
TD.PF.D	TD Bank Pref Ser 7
TD.PF.E	TD Bank Pref Ser 9
TD.PF.I	TD Bank Pref Series 16
TD.PF.J	TD Bank Pref Series 18
TDB	TD CDN Aggregate Bond Index ETF
TDHE	
TDHI	
TDOC	TD Global Healthcare Leaders Index ETF
TDOC.U	TD Global Healthcare Leaders Idx ETF USD
TEC	TD Global Technology Leaders Index ETF
TEC.U	TD Global Technology Leaders Idx ETF USD
TECH	Evolve Fangma Index ETF [Cad Hedged Unit
TECH.B	Evolve Fangma Index ETF [Cad Unhedged Un
TECH.U	Evolve Fangma Index Uh ETF USD
TECI	TD Global Technology Innovators Indx ETF
TECK.A	Teck Resources Ltd Cl A
TECK.B	Teck Resources Ltd Cl B
TECT	
TECX	TD Global Tech Leaders CAD Hdg Idx ETF
TEHE	
TELO	
TEQT	TD All Equity ETF Portfolio
TERM	Manulife Smart Short-Term Bond ETF
TES	
TF	Timbercreek Financial Corp
TF.DB.D	Timbercreek Financial Corp 5.25 Pct Debs
TF.DB.E	Timbercreek Financial Corp 5.00 Pct Debs
TF.DB.F	Timbercreek Financial Corp 7.50 Pct Debs
TFII	Tfi International Inc
TFM	
TFPM	Triple Flag Precious Metals Corp
TG	
TGAF	Tralucent Global Alt [Long/Short] Equity Fund
TGED	TD Active Global Enhanced Dividend ETF
TGED.U	TD Active Global Enhanced Div ETF USD
TGFI	TD Active Global Income ETF
TGGR	TD Active Global Equity Growth ETF
TGH	
TGO	Terago Inc
TGOL	
TGRE	TD Active Global Real Estate Eqty ETF
TGRO	TD Growth Portfolio ETF
TH	Theratechnologies
The	TD Intl Equity CAD Hedge Index ETF
THNC	Thinkific Labs Inc
THRM	
THU	TD S&P 500 CAD Hedge Index ETF
TI	Titan Mining Corp
TIDE-P	
TIE	
TIG	
TIH	Toromont Ind
TILV	TD Q International Low Volatility ETF
TINF	TD Active Global Infrastructure Eqty ETF
TINY	
TIP-H	
TIXT	Telus International [Cda] Inc
TKN	Ninepoint Web3 Innovators Fund
TKN.U	Ninepoint Web3 Innovators Fund
TKO	Taseko Mines Ltd
TKU	
TLC-P	
TLF	Brompton Tech Leaders Income ETF
TLF.U	Brompton Tech Leaders Income ETF USD
TLG	Troilus Gold Corp
TLO	Talon Metals Corp
TLRY	Tilray Inc
TLTD	Megashort -3X 20 Yr US Trs Dl Lv Alt ETF
TLTU	Megalong 3X 20 Yr US Trs Dly Lvg Alt ETF
TLV	Invesco SP TSX Low Vol Idx ETF
TLX-P	
TMET	
TMQ	Trilogy Metals Inc
TMS-H	
TNO-H	
TNT.UN	True North Commercial REIT
TNZ	Tenaz Energy Corp
TOI	
TOP-P	
TORA	
TORC	
TORQ	
TORR	
TOT	Total Energy Services Inc
TOTC-P	
TOU	Tourmaline Oil Corp
TOWR	BMO Brookfield Gbl Real Est Tech Fnd ETF
TOY	Spin Master Corp
TPC	
TPE	TD International Equity Index ETF
TPRF	TD Active Preferred Share ETF
TPU	TD S&P 500 Index ETF
TPU.U	TD US Equity Index ETF USD
TPX.A	Molson Coors Canada Inc Cl A Lv
TPX.B	Molson Coors Canada Inc Cl B NV
TPZ	Topaz Energy Corp
TQCD	TD Q Canadian Dividend ETF
TQGD	TD Q Global Dividend ETF
TQGM	TD Q Global Multifactor ETF
TQQQ	Betapro 3X Nasdaq-100 Daily Leveraged Bull Alter
TQSM	TD Q US Small Mid Cap Eqty ETF
TQSM.U	TD Q US Small Mid Cap Equity ETF USD
TRAN	
TRBC	
TRBE	
TRBR	
TRI	Thomson Reuters Corp
TRI.PR.B	Thomson Reuters Corp Prf Srs 2
TRP	TC Energy Corp
TRP.PR.A	Transcanada Corp Pref Ser 1
TRP.PR.B	Transcanada Corp Pref Ser 3
TRP.PR.C	Transcanada Corp Pref Ser 5
TRP.PR.D	Transcanada Corp Pref Ser 7
TRP.PR.E	Transcanada Corp Pref Ser 9
TRP.PR.F	Transcanada Corp Pref Ser 2
TRP.PR.G	Transcanada Corp Pref Ser 11
TRP.PR.H	Transcanada Corp Pref Ser 4
TRP.PR.I	Transcanada Corp Pref Ser 6
TRP.PR.L	TC Energy Corp Pref Series 10
TRV-P	
TRVI	Harvest Travel and Leisure Income ETF
TRVL	Harvest Travel and Leisure Index ETF
TRVL.U	Harvest Travel and Leisure ETF USD
TRX	Trx Gold Corporation
TRZ	Transat At Inc
TSAT	Telesat Corp
TSK	Talisker Resources Ltd
TSK.WT	Talisker Resources Ltd Wts
TSL	Tree Island Steel Ltd
TSLA	Tesla Inc. Cdr [Cad Hedged]
TSLD	
TSLU	Savvylong 2X Tsla ETF
TSLV	
TSLY	Harvest Tesla Enhd High Income Shrs ETF
TSND	Terrascend Corp
TSPX	Betapro 3X S&P 500 Daily Leveraged Bull Alternat
TSU	Trisura Group Ltd
TTG	
TTGI	
TTNM	Titanium Transportation Group Inc
TTO-H	
TTP	TD S&P TSX Capped Comp Index ETF
TTTX	Global X Innov Bluechip Top 10 Ind ETF
TUD	
TUED	TD Active US Enhanced Dividend ETF
TUED.U	TD Active US Enhanced Dividend ETF USD
TUEX	TD Active US Enhanced Div CAD Hdg ETF
TUHY	TD Active US High Yield Bond ETF
TUK	
TULB	TD US Long Term Treasury Bond ETF
TULV	TD Q US Low Volatility ETF
TUP-P	
TUSB	TD Select U.S. Short Term Corporate Bond
TUSB.U	TD Select US Short Term Corp Bnd ETF USD
TUSD.U	TD US Cash Management ETF USD
TVA.B	Tva Group Inc Cl B NV
TVE	Tamarack Valley Energy Ltd
TVK	Terravest Capital Inc
TWC	Twc Enterprises Ltd
TWM	Tidewater Midstream and Infras Ltd
TWM.DB.A	Tidewater Midstream Infras 8.00 Pct Debs
TXF	CI Tech Giants Covered Call ETF
TXF.B	CI Tech Giants Cov Call Unheg
TXF.U	CI Tech Giants Covered Call ETF USD
TXG	Torex Gold Resources Inc
TXP	Touchstone Exploration Inc
U.U	Sprott Physical Uranium Trust USD
U.UN	Sprott Physical Uranium Trust
UBIL.U	GX 0-3 Month U.S. T-Bill ETF
UBNK	Global X Equal Weight US Banks Index ETF
UCSH.U	GX USD High Interest Savings ETF
UDA	Caldwell US Dividend Advantage Fund ETF
UDIV	Manulife Smart U.S. Dividend ETF [Hedged
UDIV.B	Manulife Smart U.S. Dividend ETF Unhedged Units
UI	
UIG	
ULT	
ULV.C	Powershares Sp500 Low Volatility ETF
ULV.F	Invesco S&P 500 Low Volatility ETF
ULV.U	Invesco S&P 500 Low Volatility ETF USD
UMAX	Hamilton Utilities Yield Maximizer ETF
UMI	CI Wisdomtree US Midcap Div Idx Hgd ETF
UMI.B	Wisdomtree US Midcap Div Idx Unheg ETF
UMNY.U	CI US Money Market ETF USD
UMRT	Global X Equal Weight U.S. Groceries & Staples I
UNC	United Corp Ltd
UNC.PR.B	United Corp 59 Pr
UNC.PR.C	United Corp 63 Pr
UNI	Unisync Corp Class B
UNO-H	
UPT-P	
URB	Urbana Corp
URB.A	Urbana Corp A NV
URC	Uranium Royalty Corp
URE	Ur-Energy Inc
USA	Americas Silver Corp
USCC	GX S&P 500 Covered Call ETF
USCC.U	GX S&P 500 Covered Call ETF USD
USCL	GX Enhanced S&P 500 Covered Call ETF
USCU	
USHA	
USSL	Global X Enhanced S&P 500 Index ETF
USSX	Global X S&P 500 Index ETF Class A Units
USSX.U	Global X SP 500 Index ETF USD
UTES	Evolve CAD Util Enh Yield Idx Fnd ETF
UTIL	GX Canadian Utility Srvs High Divd Idx ETF
VA	Vanguard FTSE Dev Asia Pac All Cap ETF
VAB	Vanguard CDN Aggregate Bond Index ETF
VAL-P	
VALT	CI Gold Bullion Fund ETF Hg CAD
VALT.B	CI Gold Bullion Fund ETF
VALT.U	CI Gold Bullion Fund ETF USD
VAND	
VAU	
VBAL	Vanguard Balanced ETF Portfolio
VBNK	Versabank
VCB	Vanguard CDN Corporate Bond Index ETF
VCC-P	
VCE	Vanguard FTSE Canada Index ETF
VCIP	Vanguard Conservative Income ETF
VCM	Vecima Networks Inc
VCN	Vanguard FTSE Canada All Cap ETF
VCNS	Vanguard Conservative ETF Portfolio
VCT	
VCU	
VDO-H	
VDU	Vanguard FTSE Developed AC Ex US ETF
VDY	Vanguard FTSE CDN High Div Yld Index ETF
VE	Vanguard FTSE Dev Europe All Cap ETF
VEE	Vanguard FTSE Emerging Mkts All Cap ETF
VEF	Vanguard FTSE Dev AC Ex US ETF CAD Hdg
VEIN	
VENZ	
VEQT	Vanguard All Equity ETF Portfolio
VERT	
VET	Vermilion Energy Inc
VFV	Vanguard S&P 500 Index ETF
VGG	Vanguard US Div Appr ETF
VGH	Vanguard US Div Appr ETF CAD Hdg
VGRO	Vanguard Growth ETF Portfolio
VGV	Vanguard CDN Government Bond Index ETF
VGZ	Vista Gold Corp
VHI	Vitalhub Corp
VI	Vanguard FTSE Dev All Cap Na ETF
VIDY	Vanguard FTSE Dev Ex Na High Div Yld ETF
VIP	
VIPR	
VIS	
VITA	
VIU	Vanguard FTSE Dev All Cap Na ETF
VIZ	
VKG-H	
VLB	Vanguard CDN Long Term Bond Index ETF
VLD	
VLE	Valeura Energy Inc
VLI	
VLN	Velan Inc Sv
VLT	
VLX	
VM	
VMET	
VML	
VMO	Vanguard Glob Momentum Factor ETF
VMXX	
VMY-H	
VNP	5N Plus Inc
VO	
VOC-P	
VOLX	Betapro Sp500 VIX ST Ftrs ETF
VOXR	Vox Royalty Corp
VQS	Viq Solutions Inc
VRB	
VRE	Vanguard FTSE CDN Capped REIT Index ETF
VRIF	Vanguard Retirement Income ETF
VROY	
VRR	
VRTS	Virtus Investment Partners Inc.
VRY	
VSB	Vanguard CDN Short-Term Bond Index ETF
VSC	Vanguard CDN Short Term Corp Bd ETF
VSP	Vanguard S&P 500 Index ETF CAD Hdg
VTEN-P	
VTX	
VUN	Vanguard US Total Market ETF
VUS	Vanguard US Total Mkt ETF CAD Hdg
VUX	
VVL	Vanguard Glob Val Factor ETF
VVO	Vanguard Global Min Vol ETF
VVSG	Vanguard CDN Ultra Sh Govt Bond Indx ETF
VVTM	
VXC	Vanguard FTSE Global All Cap Ex Can ETF
VXL	
VXM	CI Morningstar Intl Value Idx ETF
VXM.B	CI Morningstar Intl Value Idx Unheg
VXTR	
VYC-H	
VZLA	Vizsla Resources Corp
VZZ	
WAAV	Wavefront All-Weather Alternative Fund
WAGR	
WAM	
WAT-P	
WATR	
WAVE	
WCE	
WCM.A	Wilmington Capital Mgmt Inc Cl A NV
WCM.B	Wilmington Capital Management Cl B
WCN	Waste Connections Inc
WCP	Whitecap Resources Inc
WDO	Wesdome Gold Mines Ltd
WEED	Canopy Growth Corp
WEF	Western Forest Products Inc
WELL	Well Health Technologies Corp
WELL.DB	Well Health Technologies 5.5 Pct Debs
WFC	Wall Financial
WFG	West Fraser Timber CO Ltd
WFLD	
WGLD	
WGO	
WGT	
WGX	Westgold Resources Limited
WHN	
WI	
WIL	
WILD	Wildbrain Ltd
WINS	
WISH	
WITT-P	
WJX	Wajax Corp
WKG	
WLR	
WM	Wallbridge Mining Company Ltd
WMK	
WMS	
WN	George Weston Limited
WN.PR.A	George Weston Pref Ser 1
WN.PR.C	George Weston 5.20% Pref Ser III
WN.PR.D	George Weston 5.2% Pref Ser IV
WN.PR.E	George Weston 4.75% Pref Ser V
WNDR	Wonderfi Technologies Inc.
WOLF	
WOMN	BMO Women IN Leadership Fund
WOOD-P	
WPG	
WPK	Winpak Ltd
WPM	Wheaton Precious Metals Corp
WPRT	Westport Fuel Systems Inc
WRG	Western Energy Services Corp
WRLG	
WRN	Western Copper and Gold Corp
WRR	
WSK	
WSP	WSP Global Inc
WSRD	Wealthsimple Dev Mkt Ex Na Soc Resp ETF
WSRI	Wealthsimple Na Socially Resp Index ETF
WT-H	
WTE	Westshore Terminals Investment Corp
WVM	
WWA-P	
WWT	
WXM	CI Morningstar Cda Momentum Idx ETF
X	TMX Group Ltd
XAD	Ishares U.S. Aerospace & Defense Index ETF
XAGG	Ishares US Aggregate Bond Index ETF
XAGG.U	Ishares US Aggregate Bond Index ETF USD
XAGH	Ishares US Aggregate Bond Idx ETF CAD HD
XAM	Xanadu Mines Ltd
XAU	Goldmoney Inc
XAW	Ishares Core MSCI All Cntry Ex Can ETF
XAW.U	Ishares Core MSCI All Ex Can ETF USD
XBAL	Ishares Core Balanced ETF Portfolio
XBB	Ishares Core CDN Universe Bond ETF
XBM	Ishares S&P TSX Global Base Mtls ETF
XBOT	
XCAP-P	
XCB	Ishares Canadian Corporate Bond ETF
XCBG	Ishares ESG Adv CAD Corp Bond Index ETF
XCBU	Ishares US IG Corporate Bond Index ETF
XCBU.U	Ishares US IG Corporate Bond Idx ETF USD
XCD	Ishares S&P Global Cons Disc ETF
XCG	Ishares Canadian Growth Index ETF
XCH	Ishares China Index ETF
XCHP	Ishares Semiconductor Index ETF
XCLN	Ishares Global Clean Energy Index ETF
XCNS	Ishares Core Conservative Balanced ETF
XCS	Ishares S&P TSX Smallcap Index ETF
XCSR	Ishares ESG Advanced MSCI Canada Idx ETF
XCV	Ishares Canadian Value Index ETF
XCYT	
XDG	Ishares Core MSCI Glo Qlty Div ETF
XDG.U	Ishares Core MSCI Glo Qlty Div ETF USD
XDGH	Ishares Core MSCI Glo Qlty Div ETF
XDIV	Ishares Core MSCI CAD Qlty Div ETF
XDNA	Ishares Genomics Immunology and Healthcare Index
XDSR	Ishares ESG Advanced MSCI EAFE Index ETF
XDU	Ishares Core MSCI US Qlty Div ETF
XDU.U	Ishares Core MSCI US Qlty Div ETF USD
XDUH	Ishares Core MSCI US Qlty Div ETF
XDV	Ishares Canadian Select Div Index ETF
XEB	Ishares JP Morgan USD Emerg Mkts Bd ETF
XEC	Ishares Core MSCI Emerging Mkts IMI ETF
XEC.U	Ishares Core MSCI Emrgng Mkt IMI ETF
XEF	Ishares Core MSCI EAFE IMI Index ETF
XEF.U	Ishares Core MSCI EAFE IMI Index ETF
XEG	Ishares S&P TSX Capped Energy Index ETF
XEH	Ishares MSCI Europe IMI Index ETF
XEI	Ishares S&P TSX Comp High Div Index ETF
XEM	Ishares MSCI Emerging Markets ETF
XEMC	Ishares MSCI Emerg Mkts Ex China Idx ETF
XEN	Ishares Jantzi Social Index ETF
XEQT	Ishares Core Equity ETF
XESG	Ishares ESG MSCI Cda Index ETF
XETM	Ishares TSX Energy Transition Materials Index Et
XEU	Ishares MSCI Europe IMI Index ETF
XEXP	Ishares Exponential Tech Index ETF
XFH	Ishares Core MSCI EAFE IMI Index ETF
XFLB	Ishares Core CDN 15 Year Fed Bnd Idx ETF
XFLI	Ishares Flexible Monthly Income ETF
XFLI.U	Ishares Flexible Monthly Income ETF USD
XFLX	Ishares Flexible Monthly Income ETF
XFN	Ishares S&P TSX Capped Financials ETF
XFR	Ishares Floating Rate Index ETF
XGB	Ishares Canadian Govt Bond Index ETF
XGD	Ishares S&P TSX Global Gold Index ETF
XGI	Ishares S&P Global Industrials ETF
XGRO	Ishares Core Growth ETF Portfolio
XHAK	Ishares Cybersecurity and Tech Index ETF
XHB	Ishares CDN Hybrid Corp Bond ETF
XHC	Ishares Global Healthcare Index ETF
XHD	Ishares US High Div Equity Index ETF
XHU	Ishares US High Div Equity Index ETF
XHY	Ishares US High Yield Bond Index ETF
XIC	Ishares Core S&P TSX Capped Comp ETF
XID	Ishares India Index ETF
XIG	Ishares US IG Corporate Bond Index ETF
XIGS	Ishares 1 To 5 Year US IG Corp Bond ETF
XIM	
XIN	Ishares MSCI EAFE Index ETF
XINC	Ishares Core Income Balanced ETF
XIT	Ishares S&P TSX Capped Info Tech ETF
XIU	Ishares S&P TSX 60 Index ETF
XLB	Ishares Core CDN Long Term Bond ETF
XLY	Auxly Cannabis Group Inc
XMA	Ishares S&P TSX Capped Materials ETF
XMC	Ishares S&P US Midcap Index ETF
XMC.U	Ishares SP US Midcap ETF USD
XMD	Ishares S&P TSX Completion Index ETF
XMF.A	M Split Corp Capital Shares 2014
XMF.PR.B	M Split Corp Class I Pref Shares
XMH	Ishares S&P US Midcap Index ETF CAD Hgd
XMI	Ishares Edge MSCI Min Vol EAFE ETF
XML	Ishares Edge MSCI Mv EAFE ETF CAD Hgd
XMM	Ishares Edge MSCI Min Vol Emerg ETF
XMS	Ishares Edge MSCI Mv USA ETF CAD Hgd
XMTM	Ishares Edge MSCI USA Momnt Fctr ETF
XMU	Ishares Edge MSCI Min Vol USA ETF
XMU.U	Ishares Edge MSCI Min Vol USA Index ETF
XMV	Ishares Edge MSCI Min Vol Can ETF
XMW	Ishares Edge MSCI Min Vol Gbl ETF
XMY	Ishares Edge MSCI Mv Global ETF CAD Hgd
XND	
XOX-P	
XPF	Ishares S&P TSX Na Pref Stock ETF
XPLR	
XQB	Ishares High Qlty Canadian Bond ETF
XQLT	Ishares Edge MSCI USA Qlty Fctr Indx ETF
XQQ	Ishares Nasdaq 100 Index ETF
XQQU	Ishares Nasdaq 100 Index ETF
XQQU.U	Ishares Nasdaq 100 Index ETF
XRB	Ishares CDN Real Return Bond Index ETF
XRE	Ishares S&P TSX Capped REIT Index ETF
XRP	Evolve XRP ETF
XRP.U	Evolve XRP ETF
XRPP	Purpose XRP ETF
XRPP.B	Purpose XRP ETF
XRPP.U	Purpose XRP ETF
XRPQ	3iQ XRP ETF
XRPQ.U	3iQ XRP ETF
XRTX	
XSAB	Ishares ESG CDN Agg Bond Index ETF
XSB	Ishares Core CDN Short Trm Bond ETF
XSC	Ishares Cons ST Strat Fix Inc ETF
XSE	Ishares Cons Strat Fix Inc ETF
XSEA	Ishares ESG MSCI EAFE Index ETF
XSEM	Ishares ESG MSCI Emerg Mkts Index ETF
XSH	Ishares Core CDN ST Corp Maple Bnd ETF
XSHG	Ishares ESG Adv 1 To 5 Yr CAD Bd Idx ETF
XSHU	Ishares 1 To 5 Year US IG Corp Bond ETF
XSHU.U	Ishares 1 To 5 Yr US IG Corp Bd ETF USD
XSI	Ishares Short Term Strategic FI ETF
XSMB	Ishares Core CDN Sh MD Trm Un Bd Idx ETF
XSMC	Ishares SP US Small Cap Index ETF
XSMH	Ishares SP US Small Cap ETF CAD Hdg
XSP	Ishares Core S&P 500 ETF CAD Hdg ETF
XSPC	Ishares S&P 500 3% Capped Index ETF [Cad-Hedged]
XST	Ishares S&P TSX Capped Cons Stpl ETF
XSTB	Ishares ESG CDN ST Bond Index ETF
XSTH	Ishares 0 To 5 Year TIPS Bond Idx HD ETF
XSTP	Ishares 0 To 5 Year TIPS Bond Index ETF
XSTP.U	Ishares 0 To 5 Yr TIPS Bond Idx ETF USD
XSU	Ishares US Small Cap Index ETF
XSUS	Ishares ESG MSCI USA Index ETF
XTAO-U	
XTC	Exco Tech
XTD	Tdb Split Corp Class A Shares
XTD.PR.A	Tdb Split Corp. Priority Equity Shares
XTG	Xtra Gold Resources Corp
XTLH	Ishares 20 Year US Treasury Bond Hdg ETF
XTLT	Ishares 20 Year US Treasury Bond ETF
XTLT.U	Ishares 20 Year US Treasury Bond ETF USD
XTM	
XTOH	
XTOT	Ishares Core SP Total US Stk Mkt Idx ETF
